SizeBand,rank,companyName,website
Large,1,USAA,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/usaa
Large,2,Edward Jones,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/edward-jones
Large,3,Pinnacol Assurance,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/pinnacol-assurance
Large,4,T-Mobile US,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/t-mobile-usa_1
Large,5,Charles Schwab & Co.,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/charles-schwab_4
Large,6,"Saunders Construction, Inc",http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/saunders-construction-i
Large,7,OppenheimerFunds,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/oppenheimer-funds
Large,8,"Sturgeon Electric Company, Inc.",http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/sturgeon-electric-co
Large,9,Rose Medical Center,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/rose-medical-center
Large,10,Jefferson Center For Mental Health,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/jefferson-center-for-men
Large,11,Bright Horizons Family Solutions,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/bright-horizons-family-solutions
Large,12,Alliance Data,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/alliance-data-retail-ser
Large,13,"Breads of the World, LLC dba Panera Bread",http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/breads-of-the-world_1
Large,14,Mental Health Center of Denver,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/mental-health-center-of
Large,15,U.S. Bank,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/u-s-bank_1
Large,16,FirstBank,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/firstbank
Large,17,Epsilon,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/epsilon
Large,18,HomeAdvisor,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/homeadvisor-inc
Large,19,DSST Public Schools,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/dsst-public-schools
Large,20,Anadarko Petroleum Corp./ Denver,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/anadarko-petroleum-c
Large,21,Children's Hospital Colorado,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/children-s-hospital-colo
Large,22,Native Roots,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/native-roots
Large,23,"DaVita, Inc.",http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/davita-inc_2
Large,24,DigitalGlobe Inc,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/digitalglobe-inc
Large,25,UCHealth,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/university-of-colorado-h
Midsize,1,8z Real Estate,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/8z-real-estate
Midsize,2,iLendingDIRECT,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/ilendingdirect
Midsize,3,Avery Brewing Company,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/avery-brewing-company
Midsize,4,PorchLight Real Estate Group,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/porchlight-real-estate-g
Midsize,5,Weifield Group Contracting,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/weifield-group-contr
Midsize,6,Safelite Autoglass,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/safelite-autoglass
Midsize,7,Renewal by Andersen of Colorado,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/renewal-by-andersen-colo
Midsize,8,"OZ Architecture, Inc.",http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/oz-architecture
Midsize,9,2u,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/2u-inc
Midsize,10,Team Select Home Care,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/team-select-home-care
Midsize,11,Physician Health Partners,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/physician-health-par
Midsize,12,Slalom,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/slalom-consulting_3
Midsize,13,Eide Bailly LLP,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/eide-bailly-llp
Midsize,14,Suncrest Hospice,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/suncrest-hospice
Midsize,15,New York Life Insurance Company,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/new-york-life-insurance_1
Midsize,16,Heritage Title Company,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/heritage-title-company
Midsize,17,Echelon Property Group,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/echelon-property-group
Midsize,18,Cornerstone Home Lending,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/cornerstone-mortgage
Midsize,19,Martin/Martin Inc,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/martin-martin-inc
Midsize,20,Burns & McDonnell,http://www.topworkplaces.com/frontend.php/regional-list/company/denverpost/burns-mcdonnell_2
